conditionFile,thisN,thisTrialN,thisRepN,scene_image,scene_name,correct_key,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,key_rate_2.keys,key_rate_2.corr,key_rate_2.rt,key_rate_2.duration,key_question_2.keys,key_question_2.corr,key_question_2.rt,key_question_2.duration,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,skip_loop.thisRepN,skip_loop.thisTrialN,skip_loop.thisN,skip_loop.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,scene_part2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,text.stopped,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,p3_rate.stopped,p3_vis_loop.key_rate_2.keys,p3_vis_loop.key_rate_2.corr,p3_vis_loop.key_rate_2.rt,p3_vis_loop.key_rate_2.duration,p3_question.started,text_question_2.started,text_option_2.started,key_question_2.started,text_5.started,p3_question.stopped,p3_vis_loop.key_question_2.keys,p3_vis_loop.key_question_2.corr,p3_vis_loop.key_question_2.rt,p3_vis_loop.key_question_2.duration,text_p3_visualize.stopped,textbox_scene_name_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018497042008675635,0.03148504201089963,0.9989690420334227,4.775413958996069,space,3.4638630829867907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.775464083999395,4.802240292017814,4.802240292017814,5.966359084006399,space,1.1555761249619536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group3.xlsx,0,0,0,TESTstimuli/TESTscenes/p1_scenes/p1_UA_1.png,Negvi,3,This is a scene from a sea named,space,0.2722691670060158,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,6.0722765840473585,,,,,,,,,,,,,,,,6.06151366699487,6.0722765840473585,6.0722765840473585,6.0722765840473585,6.0722765840473585,6.965493792027701,7.240418084023986,space,0.2722691670060158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group3.xlsx,1,1,0,TESTstimuli/TESTscenes/p1_scenes/p1_UA_2.png,Negvi,3,This is a scene from a sea named,space,0.1378082919982262,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,7.307463834004011,,,,,,,,,,,,,,,,7.300342167029157,7.307463834004011,7.307463834004011,7.307463834004011,7.307463834004011,8.237922709027771,8.382394500018563,space,0.1378082919982262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group3.xlsx,2,2,0,TESTstimuli/TESTscenes/p1_scenes/p1_UA_3.png,Negvi,3,This is a scene from a sea named,space,0.2510647499584593,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,8.445774124993477,,,,,,,,,,,,,,,,8.439008624991402,8.445774124993477,8.445774124993477,8.445774124993477,8.445774124993477,9.370620834000874,9.632636542024557,space,0.2510647499584593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group3.xlsx,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group4.xlsx,0,0,0,TESTstimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,4,This is a scene from a sea named,space,0.42140795796876773,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.70131495903479,,,,,,,,,,,,,,,,9.694437625003047,9.70131495903479,9.70131495903479,9.70131495903479,9.70131495903479,10.620279624999966,11.049866792047396,space,0.42140795796876773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group4.xlsx,1,1,0,TESTstimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,4,This is a scene from a sea named,space,0.48805554100545123,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,11.111179292027373,,,,,,,,,,,,,,,,11.10417787503684,11.111179292027373,11.111179292027373,11.111179292027373,11.111179292027373,12.048576041997876,12.539526000036858,space,0.48805554100545123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group4.xlsx,2,2,0,TESTstimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,4,This is a scene from a sea named,space,1.2448041239986196,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,12.601920584042091,,,,,,,,,,,,,,,,12.595146209001541,12.601920584042091,12.601920584042091,12.601920584042091,12.601920584042091,13.537128416995984,14.783247334009502,space,1.2448041239986196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group4.xlsx,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group2.xlsx,0,0,0,TESTstimuli/TESTscenes/p1_scenes/p1_JB_1.png,Malbow,2,This is a scene from a jungle named,space,0.1935610420187004,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,14.856927375018131,,,,,,,,,,,,,,,,14.84983770904364,14.856927375018131,14.856927375018131,14.856927375018131,14.856927375018131,15.781857084017247,15.982783000043128,space,0.1935610420187004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group2.xlsx,1,1,0,TESTstimuli/TESTscenes/p1_scenes/p1_JB_2.png,Malbow,2,This is a scene from a jungle named,space,1.1495689579751343,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,16.050693791999947,,,,,,,,,,,,,,,,16.043909166997764,16.050693791999947,16.050693791999947,16.050693791999947,16.050693791999947,16.98172275000252,18.132778250030242,space,1.1495689579751343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group2.xlsx,2,2,0,TESTstimuli/TESTscenes/p1_scenes/p1_JB_3.png,Malbow,2,This is a scene from a jungle named,space,0.2176350419758819,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,18.203382375009824,,,,,,,,,,,,,,,,18.196011541993357,18.203382375009824,18.203382375009824,18.203382375009824,18.203382375009824,19.13182970904745,19.355190542002674,space,0.2176350419758819,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group2.xlsx,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
scenes_group1.xlsx,0,0,0,TESTstimuli/TESTscenes/p1_scenes/p1_JA_1.png,Tulon,1,This scene is a scene from a jungle named,space,0.03663733304711059,None,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19.426836250000633,,,,,,,,,,,,,,,,19.4196729590185,19.426836250000633,19.426836250000633,19.426836250000633,19.426836250000633,20.353751334012486,20.399199834035244,space,0.03663733304711059,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2026-03-10_10h09.48.302,TEST_training_task,,2025.2.4,None,2026-03-10 10h09.49.481959 +0100,
